PAGE_SEL,02
EMB_FUNC_EN_A,04
EMB_FUNC_EN_B,05
PAGE_ADDRESS,08
PAGE_VALUE,09
EMB_FUNC_INT1,0A
FSM_INT1_A,0B
FSM_INT1_B,0C
MLC_INT1,0D
EMB_FUNC_INT2,0E
FSM_INT2_A,0F
FSM_INT2_B,10
MLC_INT2,11
EMB_FUNC_STATUS,12
FSM_STATUS_A,13
FSM_STATUS_B,14
MLC_STATUS,15
PAGE_RW,17
RESERVED,18
RESERVED,19
RESERVED,1A
RESERVED,1B
RESERVED,1C
RESERVED,1D
RESERVED,1E
RESERVED,1F
RESERVED,20
RESERVED,21
RESERVED,22
RESERVED,23
RESERVED,24
RESERVED,25
RESERVED,26
RESERVED,27
RESERVED,28
RESERVED,29
RESERVED,2A
RESERVED,2B
RESERVED,2C
RESERVED,2D
RESERVED,2E
RESERVED,2F
RESERVED,30
RESERVED,31
RESERVED,32
RESERVED,33
RESERVED,34
RESERVED,35
RESERVED,36
RESERVED,37
RESERVED,38
RESERVED,39
RESERVED,3A
RESERVED,3B
RESERVED,3C
RESERVED,3D
RESERVED,3E
RESERVED,3F
RESERVED,40
RESERVED,41
RESERVED,42
RESERVED,43
EMB_FUNC_FIFO_CFG,44
FSM_ENABLE_A,46
FSM_ENABLE_B,47
FSM_LONG_COUNTER_L,48
FSM_LONG_COUNTER_H,49
FSM_LONG_COUNTER_CLEAR,4A
FSM_OUTS1,4C
FSM_OUTS2,4D
FSM_OUTS3,4E
FSM_OUTS4,4F
FSM_OUTS5,50
FSM_OUTS6,51
FSM_OUTS7,52
FSM_OUTS8,53
FSM_OUTS9,54
FSM_OUTS10,55
FSM_OUTS11,56
FSM_OUTS12,57
FSM_OUTS13,58
FSM_OUTS14,59
FSM_OUTS15,5A
FSM_OUTS16,5B
RESERVED,5E
EMB_FUNC_ODR_CFG_B,5F
EMB_FUNC_ODR_CFG_C,60
STEP_COUNTER_L,62
STEP_COUNTER_H,63
EMB_FUNC_SRC,64
EMB_FUNC_INIT_A,66
EMB_FUNC_INIT_B,67
MLC0_SRC,70
MLC1_SRC,71
MLC2_SRC,72
MLC3_SRC,73
MLC4_SRC,74
MLC5_SRC,75
MLC6_SRC,76
MLC7_SRC,77
